event_type,matchup,location,date
Regular Season,Washington Spirit vs Portland Thorns FC,"Audi Field, Washington, District of Columbia",2023-08-27 17:00:00
Regular Season,NJ/NY Gotham FC vs Racing Louisville FC,"Red Bull Arena, Harrison, New Jersey",2023-08-27 17:30:00
Regular Season,Angel City FC vs OL Reign,"BMO Stadium, Los Angeles, California",2023-08-27 20:00:00
Regular Season,Kansas City Current vs Angel City FC,"Children's Mercy Park, Kansas City, Kansas",2023-09-01 20:00:00
Regular Season,North Carolina Courage vs NJ/NY Gotham FC,"WakeMed Soccer Park, Cary, North Carolina",2023-09-02 19:00:00
Regular Season,Racing Louisville FC vs Portland Thorns FC,"Lynn Family Stadium, Louisville, Kentucky",2023-09-02 19:30:00
Regular Season,Washington Spirit vs Chicago Red Stars,"Audi Field, Washington, District of Columbia",2023-09-03 17:00:00
Regular Season,OL Reign vs Orlando Pride,"Lumen Field, Seattle, Washington",2023-09-03 18:00:00
Regular Season,San Diego Wave FC vs Houston Dash,"Snapdragon Stadium, San Diego, California",2023-09-03 20:00:00
Regular Season,Racing Louisville FC vs Houston Dash,"Lynn Family Stadium, Louisville, Kentucky",2023-09-15 19:30:00
Regular Season,NJ/NY Gotham FC vs Washington Spirit,"Red Bull Arena, Harrison, New Jersey",2023-09-16 19:30:00
Regular Season,San Diego Wave FC vs Kansas City Current,"Snapdragon Stadium, San Diego, California",2023-09-16 22:00:00
Regular Season,Portland Thorns FC vs OL Reign,"Providence Park, Portland, Oregon",2023-09-16 22:30:00
Regular Season,Chicago Red Stars vs Angel City FC,"SeatGeek Stadium, Bridgeview, Illinois",2023-09-17 18:00:00
Regular Season,Orlando Pride vs North Carolina Courage,"Exploria Stadium, Orlando, Florida",2023-09-17 19:00:00
Regular Season,Angel City FC vs Orlando Pride,"BMO Stadium, Los Angeles, California",2023-09-21 22:00:00
Regular Season,Washington Spirit vs Kansas City Current,"Audi Field, Washington, District of Columbia",2023-09-30 19:00:00
Regular Season,Chicago Red Stars vs Racing Louisville FC,"SeatGeek Stadium, Bridgeview, Illinois",2023-09-30 20:00:00
Regular Season,Portland Thorns FC vs San Diego Wave FC,"Providence Park, Portland, Oregon",2023-09-30 22:30:00
Regular Season,NJ/NY Gotham FC vs Houston Dash,"Red Bull Arena, Harrison, New Jersey",2023-10-01 17:30:00
Regular Season,OL Reign vs North Carolina Courage,"Lumen Field, Seattle, Washington",2023-10-01 20:00:00
Regular Season,Racing Louisville FC vs Orlando Pride,"Lynn Family Stadium, Louisville, Kentucky",2023-10-06 19:30:00
Regular Season,OL Reign vs Washington Spirit,"Lumen Field, Seattle, Washington",2023-10-06 22:00:00
